"ING_X_HRS","Year","Trimestre"
20.6202652777188,2005,"01"
21.3118919902033,2006,"01"
22.6740896336191,2007,"01"
23.4853915028722,2008,"01"
22.872881336726,2009,"01"
23.2368307249087,2010,"01"
22.6249824624586,2011,"01"
23.3390592357583,2012,"01"
23.9654633183524,2013,"01"
23.977544623153,2014,"01"
24.4525848473192,2015,"01"
25.2490080937092,2016,"01"
25.5566982846503,2017,"01"
26.1396182603499,2018,"01"
28.0729052269812,2019,"01"
31.345995542257,2020,"01"
33.8301324367244,2021,"01"
20.53455997658,2005,"02"
22.2843465870552,2006,"02"
23.3166058453437,2007,"02"
23.6592210154575,2008,"02"
22.9433350366841,2009,"02"
23.1762066191432,2010,"02"
22.9137153147933,2011,"02"
23.7417533490092,2012,"02"
23.9055665206037,2013,"02"
23.9915544552889,2014,"02"
24.6025709936368,2015,"02"
24.74301565006,2016,"02"
26.1795876852951,2017,"02"
26.6380577695402,2018,"02"
28.6845570726343,2019,"02"
33.5097404049452,2021,"02"
20.2806441497868,2005,"03"
21.4100047201143,2006,"03"
22.2875692217734,2007,"03"
22.2252963644921,2008,"03"
21.711422496904,2009,"03"
22.4336464274627,2010,"03"
21.9151687262402,2011,"03"
22.6878435903142,2012,"03"
22.8993933571071,2013,"03"
22.9544173399128,2014,"03"
23.8180679277692,2015,"03"
24.2851143452017,2016,"03"
24.8645251624508,2017,"03"
25.7748466209623,2018,"03"
28.1825577156817,2019,"03"
31.3841691501546,2020,"03"
32.7794272197538,2021,"03"
21.6630642944308,2005,"04"
22.5185857396647,2006,"04"
23.2119496714827,2007,"04"
22.4606833039839,2008,"04"
22.1297935850254,2009,"04"
22.6589241703518,2010,"04"
22.6864157102749,2011,"04"
23.7692504993419,2012,"04"
23.7205107068805,2013,"04"
23.4725402862246,2014,"04"
24.4251628218247,2015,"04"
25.1333497683329,2016,"04"
25.5139294976269,2017,"04"
26.8159946303161,2018,"04"
29.6739380458147,2019,"04"
32.9489838257484,2020,"04"
